Age Bin,Sensitive,Sex,Study Area,Study Title,Sector,Job Family Hiring,Job Title Hiring,Technical Skills,Comunication,Maturity,Dynamism,Mobility,English,European Residence,Italian Residence,Status
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,1,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Consulting,Not Specified,Not Specified,1,2,3,2,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Informatics,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,1,2,2,1,2,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,3,3,3,3,Yes,Yes,Positive
< 20 ,Female < 20 Italian,Female,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Scientific Field,High school graduation,Others,Engineering,Technician,1,4,2,3,4,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,1,1,1,2,2,1,Yes,Yes,Positive
< 20 ,Female < 20 Italian,Female,Other Humanities Subjects,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,3,2,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,3,2,2,3,2,Yes,Yes,Negative
< 20 ,Female < 20 Italian,Female,Other Humanities Subjects,master's degree,Others,Not Specified,Not Specified,2,1,1,1,1,1,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Scientific Field,Five-year degree,Others,Not Specified,Not Specified,1,1,2,1,1,1,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Scientific Field,Professional qualification,Others,Engineering,Technician,3,2,4,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Scientific Field,Three-year degree,Others,Not Specified,Not Specified,1,2,2,2,3,3,Yes,Yes,Positive
36 - 40 ,Female 36 - 40 Italian,Female,Other,Five-year degree,Others,Engineering,Consultant,3,2,2,2,1,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Consulting,Not Specified,Not Specified,2,2,1,2,1,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,NO COLLEGE,High school graduation,Oil and Gas,Engineering,Junior Consultant,3,3,3,3,3,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,NO COLLEGE,High school graduation,Oil and Gas,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Doctorate,Consulting,Not Specified,Not Specified,2,2,3,3,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Scientific Field,Five-year degree,Naval,Not Specified,Not Specified,2,2,2,3,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,1,2,3,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Scientific Field,High school graduation,Automotive,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,3,3,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Five-year degree,Services and Information Systems,Tech Consulting & Solutions,Advanced Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Three-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Scientific Field,High school graduation,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Other Humanities Subjects,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Scientific Field,Five-year degree,Others,Support,Support,3,4,4,4,4,3,Yes,Yes,Positive
< 20 ,Male < 20 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Automotive,Tech Consulting & Solutions,Consultant,2,3,2,3,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Aeronautics,Engineering,Junior Consultant,2,3,2,2,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,3,1,2,2,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Aeronautics,Engineering,Junior Consultant,1,3,3,2,3,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Automotive,Tech Consulting & Solutions,Advanced Consultant,2,2,2,2,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Economic,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Other,Five-year degree,Unemployed,Not Specified,Not Specified,1,1,2,1,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,3,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,1,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,1,1,1,1,1,1,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Law,master's degree,Others,Not Specified,Not Specified,1,2,1,1,3,1,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Scientific Field,Three-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,master's degree,Naval,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,NO COLLEGE,High school graduation,Oil and Gas,Not Specified,Not Specified,3,3,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Energy,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Scientific Field,High school graduation,Others,Not Specified,Not Specified,2,2,1,2,3,2,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Scientific Field,High school graduation,Aeronautics,Engineering,Consultant,2,2,3,2,3,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Three-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,1,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Female < 20 Italian,Female,Engineering,Three-year degree,Services and Information Systems,Not Specified,Not Specified,2,1,2,1,2,2,Yes,Yes,Negative
< 20 ,Female < 20 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Energy,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Linguistics,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
36 - 40 ,Female 36 - 40 Italian,Female,Other Humanities Subjects,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,NO COLLEGE,High school graduation,Oil and Gas,Engineering,Consultant,2,3,3,3,2,3,Yes,Yes,Positive
< 20 ,Female < 20 Italian,Female,Engineering,Three-year degree,Defence,Not Specified,Not Specified,2,3,2,3,1,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Informatics,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Non-Italian,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,No,No,Positive
> 45 ,Male > 45 Non-Italian,Male,Engineering,Five-year degree,Naval,Not Specified,Not Specified,2,2,2,2,2,3,No,No,Positive
< 20 ,Male < 20 Italian,Male,Economic,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Scientific Field,Professional qualification,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,2,3,2,1,3,Yes,Yes,Positive
> 45 ,Male > 45 Non-Italian,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,1,2,2,Yes,No,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Female 36 - 40 Italian,Female,Other,Doctorate,Oil and Gas,Tech Consulting & Solutions,Advanced Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,1,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Other,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Informatics,High school graduation,Services and Information Systems,Engineering,Junior Consultant,2,2,3,3,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Naval,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Non-Italian,Female,Scientific Field,Five-year degree,Others,Not Specified,Not Specified,2,2,1,2,2,3,Yes,No,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Linguistics,Five-year degree,Consulting,Not Specified,Not Specified,2,3,2,2,1,4,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Informatics,Three-year degree,Automotive,Not Specified,Not Specified,2,2,3,3,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Informatics,Three-year degree,Others,Not Specified,Not Specified,1,2,2,3,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,1,1,2,3,3,Yes,Yes,Positive
40 - 45 ,Female 40 - 45 Italian,Female,Other Humanities Subjects,Five-year degree,Energy,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Other Humanities Subjects,High school graduation,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Scientific Field,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,1,1,2,3,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Other Humanities Subjects,Five-year degree,Others,Support,Support,2,3,3,3,3,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Scientific Field,Professional qualification,Others,Not Specified,Not Specified,2,1,3,2,1,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Energy,Tech Consulting & Solutions,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,1,2,3,3,Yes,Yes,Negative
